LA,ESTAB,URN,PERCTOT,PPERSABS10
201,3614,100000,5.2,9.8
202,2000,136807,6.7,14.3
202,2001,139837,5,8.8
202,2002,140686,7.7,27.9
202,2019,100008,6.1,17.1
202,2036,100009,6,15.2
202,2065,100010,8.7,32.7
202,2078,100011,5.5,14.7
202,2184,100013,6.8,26.2
202,2219,100014,6.5,20.5
202,2290,100015,9.2,31.6
202,2436,100018,8.1,28.6
202,2438,100019,6.1,14.9
202,2475,100020,6.9,22
202,2502,100021,8,30.2
202,2507,100022,9.2,38.3
202,2603,100023,6.9,19.9
202,2775,100025,6.7,20.5
202,2797,100026,6.8,20.1
202,2841,100027,4,8.3
202,2842,130342,6,17.6
202,2843,132245,6.5,20.4
202,3323,100028,3.9,7
202,3327,100029,6.5,24.3
202,3340,100030,3.8,4.9
202,3352,100031,5.7,14.2
202,3359,100032,8.1,30.2
202,3361,100033,4.7,13.2
202,3370,100034,6,17
202,3391,100035,5.7,17.1
202,3398,100036,9.5,36.5
202,3429,100039,8.1,28.4
202,3441,100040,6.4,17.6
202,3482,100041,7.7,25
202,3517,100042,6.8,22.2
202,3521,100043,7.2,26.4
202,3560,100045,6.7,21.2
202,3568,100046,7.2,24.4
202,3649,100047,5.6,14
202,3655,100048,8.5,33.6
202,4000,137181,11.1,38.1
202,4104,100049,10.1,33.1
202,4166,100050,7.9,24.8
202,4196,100051,11.4,42.9
202,4275,100052,8.2,24
202,4285,100053,8.1,24.7
202,4611,100054,4.5,6.6
202,4652,100055,7.6,20.8
202,4688,100056,9.3,31.6
202,5401,100059,10.3,33.8
202,7008,100091,10.1,38.7
202,7137,100092,42,80.4
202,7205,100096,16.8,55.4
203,2001,148614,4.3,11.3
203,2018,143211,6.9,18
203,2024,143601,7.1,19.6
203,2028,100113,5.3,14.7
203,2071,100114,6.4,22.6
203,2106,100115,4.9,9.7
203,2174,100120,7.3,24.5
203,2228,100125,6.3,21.3
203,2242,100126,4.5,9.8
203,2258,100127,5,9.7
203,2266,145210,7.7,27.4
203,2271,100129,6.7,18.7
203,2275,143597,4.2,8.6
203,2299,100131,5.8,15.2
203,2313,143598,7.7,20.1
203,2325,100134,5.7,13.8
203,2353,100136,6.1,18.9
203,2410,100137,4.9,14.5
203,2471,100140,7.4,22.8
203,2552,100141,4.5,9.5
203,2598,100142,6.2,20.4
203,2656,143594,8.1,28.7
203,2662,100146,5.2,13.4
203,2790,143210,5.5,16.3
203,2798,100149,6,16.8
203,2801,100150,6.1,19.4
203,2804,143593,6.8,22.3
203,2813,100152,6.3,18.7
203,2851,148615,5.3,11.6
203,2877,100155,5.9,18.9
203,2885,143592,6.6,21
203,2890,143079,5.3,13.5
203,2900,100158,5.9,17.7
203,2901,100159,7.1,24.7
203,2902,145215,6.8,19.9
203,2915,100162,6.1,15.6
203,2916,100163,5.4,12.7
203,2917,100164,6,16
203,2918,130921,6.9,23.2
203,2919,143209,6,18.4
203,2920,143596,6.6,18.1
203,2921,131246,6.1,17.9
203,2922,131841,6.7,22.5
203,2923,143599,4.6,7.4
203,2924,132800,5.3,13.6
203,2925,132827,5.7,16.1
203,3322,100165,7.5,16.8
203,3331,100166,3.2,0.5
203,3338,100167,4.2,6.2
203,3382,100168,3.7,4.1
203,3481,100169,6.3,19.5
203,3500,100170,4.7,10.9
203,3526,100171,7.4,22.3
203,3535,144091,3.3,1.9
203,3561,100173,3.3,4.2
203,3577,100174,5.4,13.2
203,3585,100175,2.6,1.1
203,3604,100176,5.2,14.5
203,3632,100177,4.1,10.6
203,3657,100178,6,16.4
203,3662,100179,4.7,13.1
203,3666,100180,3.3,9.2
203,3668,100181,3.4,6.7
203,3670,131109,6,17.2
203,4000,138449,10.2,30.7
203,4001,138245,6.7,22.5
203,4005,143686,7.8,24.1
203,4006,143927,11.1,33.2
203,4007,145315,8.2,25.5
203,4008,145895,8,20.3
203,4009,147439,8,22.1
203,4077,100182,7.1,21.1
203,4130,100183,11.2,33.4
203,4250,141163,6.1,16.4
203,4271,141309,8.3,22.8
203,4294,100190,10.1,30.5
203,4682,100193,7.2,20.4
203,4716,141716,4.2,6.1
203,6905,105135,7.7,21.1
203,7118,100204,20.9,69
203,7199,138547,12.8,40.5
203,7200,133401,11.2,42.4
203,7201,143595,12,38.7
204,2001,139814,5.5,11.9
204,2002,140426,4,5.9
204,2003,141750,5.5,14.1
204,2004,142112,4.5,10.2
204,2005,145730,2.1,2
204,2048,100218,6.1,15.3
204,2120,100221,5.5,16
204,2150,100223,4.6,12.3
204,2155,100224,6.2,17.5
204,2238,100225,10.1,33.1
204,2376,100229,5.2,13.4
204,2388,100230,5.4,11.5
204,2421,100231,5.2,13.1
204,2431,100232,6.3,19.9
204,2444,141576,5.3,12.3
204,2450,100234,6.1,17.6
204,2487,100235,6.4,16.7
204,2489,100236,7.5,30.5
204,2532,100239,7.1,24.9
204,2533,130302,5.6,16.9
204,2534,130303,4,7.8
204,2539,100240,4.4,11.9
204,2545,100241,4.8,10.3
204,2564,100242,6.7,22.5
204,2592,100243,6.6,23
204,2615,100244,6.5,20.1
204,2636,100245,7.5,23.9
204,2654,100248,6.9,21.1
204,2779,100250,4.9,12.2
204,2795,100251,7.3,25.3
204,2856,100252,6.3,21.4
204,2859,100253,6.5,17
204,2860,100254,7.4,21.5
204,2861,100255,8,29.5
204,2862,100256,7.2,25.7
204,2863,100257,6.7,20.7
204,2864,100258,4.8,10
204,2865,100259,6.8,24.2
204,2872,100260,8.3,28.8
204,2896,100261,4.8,10.3
204,2897,130932,4.4,8.8
204,2898,131141,5.9,18.6
204,2899,131706,5,10.5
204,2900,133669,7.7,24.3
204,3000,132137,2.8,3.4
204,3358,100263,7.1,26.9
204,3371,100264,4.9,12.6
204,3458,100266,5,14.8
204,3543,100267,6.9,25.7
204,3553,100268,7.2,22.5
204,3572,100269,6.9,17.1
204,3616,100270,5,15
204,3618,100271,6.1,19.7
204,3659,100274,6.7,20.5
204,3663,100275,9,31.5
204,3664,145610,7.5,24
204,3665,142255,5.8,16.8
204,3666,121792,6.3,20.5
204,4000,145609,8.5,25.5
204,4003,140210,5.9,14.3
204,4005,143756,8.8,25.6
204,4006,147653,7.2,21.4
204,4283,100277,10.6,35.5
204,4302,137442,8.2,22.3
204,4310,100279,9.1,29.2
204,4318,133599,6.1,18.8
204,4641,100282,7.8,25
204,4697,100284,10.4,30.3
204,4714,100285,7.9,22.1
204,6905,134693,4.3,8.8
204,6906,131062,10,32.3
204,6907,131609,8.8,26.1
204,6908,135835,7.3,22
204,6909,136137,9.1,28.7
204,7097,100307,9.3,35.3
204,7161,100311,9.3,28.4
204,7171,100312,12.3,43.7
205,2000,137331,6,15
205,2001,139546,5,11.4
205,2002,100321,7.7,27.7
205,2003,139820,7.6,28.2
205,2004,140811,5.3,14.2
205,2005,141685,5.8,16.4
205,2026,100322,6,19
205,2045,138680,5.6,16.3
205,2061,100324,7.6,26.3
205,2134,100326,7.1,28.1
205,2223,100328,7.1,23.2
205,2286,143213,8.5,28.8
205,2309,142256,7.5,20.6
