URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100000,201,3614,State-funded primary,271,127,144,46.9%,53.1%,8,3.0%,59,21.8%,145,125,1,53.5%,46.1%,0.4%,49,50,228,21.9%
100001,201,6005,Independent school,739,739,0,100.0%,0.0%,0,0.0%,22,3.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100002,201,6006,Independent school,269,105,164,39.0%,61.0%,0,0.0%,22,8.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100003,201,6007,Independent school,1045,0,1045,0.0%,100.0%,0,0.0%,145,13.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100005,202,1048,State-funded nursery,136,61,75,44.9%,55.1%,2,1.5%,23,16.9%,38,98,0,27.9%,72.1%,0.0%,52,0,0,0.0%
100006,202,1100,State-funded AP school,19,5,14,26.3%,73.7%,0,0.0%,13,68.4%,5,13,1,26.3%,68.4%,5.3%,13,15,19,78.9%
100007,202,1101,State-funded AP school,19,5,14,26.3%,73.7%,9,47.4%,10,52.6%,4,15,0,21.1%,78.9%,0.0%,19,19,19,100.0%
100008,202,2019,State-funded primary,350,185,165,52.9%,47.1%,12,3.4%,61,17.4%,306,44,0,87.4%,12.6%,0.0%,193,176,312,56.4%
100009,202,2036,State-funded primary,389,186,203,47.8%,52.2%,11,2.8%,62,15.9%,206,183,0,53.0%,47.0%,0.0%,169,163,357,45.7%
100010,202,2065,State-funded primary,338,159,179,47.0%,53.0%,12,3.6%,65,19.2%,202,136,0,59.8%,40.2%,0.0%,200,184,286,64.3%
100011,202,2078,State-funded primary,394,200,194,50.8%,49.2%,4,1.0%,54,13.7%,61,333,0,15.5%,84.5%,0.0%,124,104,335,31.0%
100013,202,2184,State-funded primary,200,97,103,48.5%,51.5%,6,3.0%,46,23.0%,181,19,0,90.5%,9.5%,0.0%,102,96,174,55.2%
100014,202,2219,State-funded primary,228,102,126,44.7%,55.3%,5,2.2%,38,16.7%,115,113,0,50.4%,49.6%,0.0%,102,98,204,48.0%
100015,202,2290,State-funded primary,225,96,129,42.7%,57.3%,5,2.2%,41,18.2%,141,84,0,62.7%,37.3%,0.0%,92,85,199,42.7%
100018,202,2436,State-funded primary,393,190,203,48.3%,51.7%,42,10.7%,85,21.6%,254,139,0,64.6%,35.4%,0.0%,235,214,336,63.7%
100019,202,2438,State-funded primary,355,173,182,48.7%,51.3%,3,0.8%,37,10.4%,249,106,0,70.1%,29.9%,0.0%,79,71,316,22.5%
100020,202,2475,State-funded primary,457,234,223,51.2%,48.8%,19,4.2%,82,17.9%,275,182,0,60.2%,39.8%,0.0%,171,154,398,38.7%
100021,202,2502,State-funded primary,421,207,214,49.2%,50.8%,13,3.1%,112,26.6%,332,89,0,78.9%,21.1%,0.0%,221,212,367,57.8%
100022,202,2507,State-funded primary,411,212,199,51.6%,48.4%,9,2.2%,71,17.3%,379,32,0,92.2%,7.8%,0.0%,227,212,366,57.9%
100023,202,2603,State-funded primary,450,219,231,48.7%,51.3%,27,6.0%,60,13.3%,197,253,0,43.8%,56.2%,0.0%,188,181,411,44.0%
100025,202,2775,State-funded primary,452,214,238,47.3%,52.7%,9,2.0%,56,12.4%,216,230,6,47.8%,50.9%,1.3%,161,160,414,38.6%
100026,202,2797,State-funded primary,230,121,109,52.6%,47.4%,7,3.0%,17,7.4%,178,52,0,77.4%,22.6%,0.0%,31,26,206,12.6%
100027,202,2841,State-funded primary,236,125,111,53.0%,47.0%,7,3.0%,42,17.8%,95,141,0,40.3%,59.7%,0.0%,39,40,210,19.0%
100028,202,3323,State-funded primary,192,96,96,50.0%,50.0%,1,0.5%,12,6.3%,101,91,0,52.6%,47.4%,0.0%,11,11,192,5.7%
100029,202,3327,State-funded primary,203,99,104,48.8%,51.2%,9,4.4%,26,12.8%,104,99,0,51.2%,48.8%,0.0%,103,100,189,52.9%
100030,202,3340,State-funded primary,229,117,112,51.1%,48.9%,5,2.2%,22,9.6%,87,142,0,38.0%,62.0%,0.0%,25,20,204,9.8%
100031,202,3352,State-funded primary,204,101,103,49.5%,50.5%,1,0.5%,17,8.3%,110,94,0,53.9%,46.1%,0.0%,17,18,204,8.8%
100032,202,3359,State-funded primary,176,97,79,55.1%,44.9%,4,2.3%,17,9.7%,102,74,0,58.0%,42.0%,0.0%,98,101,176,57.4%
100033,202,3361,State-funded primary,210,113,97,53.8%,46.2%,4,1.9%,43,20.5%,60,150,0,28.6%,71.4%,0.0%,70,73,210,34.8%
100034,202,3370,State-funded primary,234,113,121,48.3%,51.7%,25,10.7%,25,10.7%,100,134,0,42.7%,57.3%,0.0%,95,88,208,42.3%
100035,202,3391,State-funded primary,322,167,155,51.9%,48.1%,6,1.9%,41,12.7%,170,152,0,52.8%,47.2%,0.0%,127,126,290,43.4%
100036,202,3398,State-funded primary,158,77,81,48.7%,51.3%,12,7.6%,15,9.5%,19,139,0,12.0%,88.0%,0.0%,98,94,150,62.7%
100039,202,3429,State-funded primary,46,25,21,54.3%,45.7%,4,8.7%,11,23.9%,8,38,0,17.4%,82.6%,0.0%,27,26,41,63.4%
100040,202,3441,State-funded primary,212,118,94,55.7%,44.3%,2,0.9%,40,18.9%,103,109,0,48.6%,51.4%,0.0%,82,79,201,39.3%
100041,202,3482,State-funded primary,176,90,86,51.1%,48.9%,4,2.3%,27,15.3%,66,110,0,37.5%,62.5%,0.0%,71,67,164,40.9%
100042,202,3517,State-funded primary,228,110,118,48.2%,51.8%,7,3.1%,41,18.0%,147,81,0,64.5%,35.5%,0.0%,122,110,202,54.5%
100043,202,3521,State-funded primary,204,114,90,55.9%,44.1%,3,1.5%,33,16.2%,81,123,0,39.7%,60.3%,0.0%,129,123,191,64.4%
100044,202,3546,State-funded primary,0,0,0,0.0%,0.0%,0,0.0%,0,0.0%,0,0,0,0.0%,0.0%,0.0%,0,0,0,0.0%
100045,202,3560,State-funded primary,160,76,84,47.5%,52.5%,3,1.9%,46,28.8%,73,87,0,45.6%,54.4%,0.0%,94,92,150,61.3%
100046,202,3568,State-funded primary,194,102,92,52.6%,47.4%,2,1.0%,27,13.9%,48,145,1,24.7%,74.7%,0.5%,72,72,194,37.1%
100047,202,3649,State-funded primary,198,109,89,55.1%,44.9%,6,3.0%,28,14.1%,99,99,0,50.0%,50.0%,0.0%,89,90,198,45.5%
