TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEACOV_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEACOV_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trusts,ACTIVATE LEARNING EDUCATION TRUST,15710,TR02786,8707909,10060613,South East,139268;141111;142024;145155;145945;146375,6,0,2,0,0,4,6,0,0,6,647,103.8,21%,79%,13%,22%,40.4,89%,-0.68,-0.79,-0.56,34%,3.31,5%,9%,19%,32.5,91%,-0.93,-1.18,-0.68,20%,2.57,1%,1%,9%,42.5,88%,-0.61,-0.74,-0.48,38%,3.51,6%,11%,21%,Well below average,139268;141111;142024;145155;145945;146375,6,0,2,0,0,4,647,21%,79%
202223,AcademicYear,Multi-academy trusts,ACER TRUST,15720,TR01414,9591931,10060976,South East,142104;143984;144008,3,3,0,0,0,0,3,0,0,3,548,105.3,14%,86%,9%,18%,49.4,94%,0.08,-0.04,0.2,52%,4.36,16%,23%,30%,32.5,91%,-0.94,-1.27,-0.6,20%,2.71,4%,7%,12%,52,94%,0.23,0.1,0.36,57%,4.62,18%,26%,33%,Average,142104;143984;144008,3,3,0,0,0,0,548,14%,86%
202223,AcademicYear,Multi-academy trusts,RED KITE LEARNING TRUST,15727,TR00969,7523507,10054307,Yorkshire and the Humber,136497;138304;141883;146247,4,2,1,1,0,0,4,0,1,3,810,104.1,22%,78%,7%,19%,46.9,93%,0,-0.1,0.1,48%,4.21,22%,31%,41%,29.7,95%,-0.7,-0.92,-0.49,19%,2.49,4%,7%,15%,51.7,92%,0.2,0.08,0.31,56%,4.68,27%,37%,47%,Average,136497;138304;141883;146247,4,2,1,1,0,0,810,22%,78%
202223,AcademicYear,Multi-academy trusts,CONSILIUM ACADEMIES,15728,TR00082,9495671,10061209,North East,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,0,0,8,0,0,8,1150,103.9,40%,60%,12%,15%,37.5,94%,-0.86,-0.94,-0.77,27%,3.12,5%,8%,18%,30,93%,-1.31,-1.44,-1.17,16%,2.49,4%,5%,16%,42.5,95%,-0.56,-0.67,-0.45,35%,3.54,6%,10%,20%,Well below average,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,0,0,1150,40%,60%
202223,AcademicYear,Multi-academy trusts,BATLEY MULTI ACADEMY TRUST,15729,TR00147,7732537,10059240,Yorkshire and the Humber,137424;137487;142406,3,1,1,1,0,0,3,1,0,2,520,103,32%,68%,58%,13%,45.7,97%,0.16,0.04,0.29,42%,4.09,17%,24%,53%,39.4,98%,-0.13,-0.35,0.08,33%,3.43,10%,15%,40%,48.6,96%,0.31,0.16,0.46,46%,4.41,21%,28%,59%,Above average,137424;137487;142406,3,1,1,1,0,0,520,32%,68%
202223,AcademicYear,Multi-academy trusts,THE FUTURES TRUST,15732,TR01671,8678162,10060589,West Midlands,140248;142339;145179,3,2,1,0,0,0,3,0,0,3,574,102.5,34%,66%,33%,20%,47.1,94%,0.35,0.23,0.47,46%,4.11,13%,17%,26%,41.5,94%,0.01,-0.2,0.21,36%,3.57,8%,12%,20%,50,93%,0.52,0.37,0.67,51%,4.38,16%,20%,30%,Above average,140248;142339;145179;148417,4,3,1,0,0,0,767,30%,70%
202223,AcademicYear,Multi-academy trusts,THE GREAT SCHOOLS TRUST,15758,TR00892,7641004,10058757,North West,137675;138260;138562,3,0,1,2,0,0,3,0,0,3,324,103.2,47%,53%,22%,19%,41.2,84%,-0.35,-0.52,-0.18,36%,3.79,17%,31%,69%,29.9,77%,-1,-1.26,-0.75,14%,2.67,5%,11%,48%,51,89%,0.15,-0.07,0.37,56%,4.77,28%,49%,87%,Below average,137675;138260;138562,3,0,1,2,0,0,324,47%,53%
202223,AcademicYear,Multi-academy trusts,MAIDEN ERLEGH TRUST,15762,TR01378,7548754,10058569,South East,136637;141886;146103,3,1,1,1,0,0,3,0,0,3,505,104.3,16%,84%,35%,20%,54.1,90%,0.64,0.51,0.77,60%,4.92,30%,41%,65%,40.6,95%,-0.19,-0.51,0.12,35%,3.6,18%,23%,41%,56.7,88%,0.82,0.67,0.96,65%,5.18,33%,44%,69%,Well above average,136637;141886;146103,3,1,1,1,0,0,505,16%,84%
202223,AcademicYear,Multi-academy trusts,CUMBRIA EDUCATION TRUST,15765,TR02488,7698631,10059094,North West,137252;141499;146634,3,1,2,0,0,0,3,0,1,2,430,103.5,28%,72%,1%,19%,42.5,99%,-0.27,-0.4,-0.13,36%,3.7,13%,19%,34%,32,98%,-0.83,-1.08,-0.58,17%,2.69,5%,9%,19%,46.5,99%,-0.05,-0.21,0.11,43%,4.09,15%,23%,40%,Below average,137252;141499;146634,3,1,2,0,0,0,430,28%,72%
202223,AcademicYear,Multi-academy trusts,FINHAM PARK MULTI-ACADEMY TRUST,15766,TR00790,7700317,10059110,West Midlands,136963;141939;142960,3,2,0,1,0,0,3,0,0,3,496,104.6,27%,73%,19%,19%,45.9,93%,-0.19,-0.32,-0.06,43%,4.12,16%,29%,62%,32.8,94%,-0.73,-0.98,-0.48,19%,2.8,7%,11%,36%,50.7,93%,0.01,-0.14,0.16,51%,4.6,20%,35%,71%,Below average,136963;141939;142960;148429,4,3,0,1,0,0,643,28%,72%
